Name,Time
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:05:58
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
UHURU KENYATA,16:06:00
